City,Country,Accommodation type,Accommodation cost,Transportation type,Transportation cost,Category,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Attractions
London,UK,Hotel,240.0,Flight,120.0,Nature,101.1,46.5,74.9,109.1,97.0,158.7,"['Big Ben', 'London Eye', 'Tower of London']"
Phuket,Thailand,Resort,160.0,Flight,100.0,Historical,85.0,36.7,61.8,81.6,83.3,54.6,"['Patong Beach', 'Big Buddha', 'Phuket Old Town']"
Bali,Indonesia,Villa,200.0,Flight,140.0,Nature,83.0,39.2,62.0,88.4,86.8,120.3,"['Uluwatu Temple', 'Tegallalang Rice Terrace', 'Ubud Monkey Forest']"
New York,USA,Hotel,400.0,Flight,200.0,Historical,76.7,67.2,72.1,74.6,50.4,111.1,"['Statue of Liberty', 'Central Park', 'Times Square']"
Tokyo,Japan,Airbnb,140.0,Train,40.0,Cultural,76.6,19.0,48.9,80.8,69.4,43.5,"['Tokyo Tower', 'Senso-ji Temple', 'Shibuya Crossing']"
Paris,France,Hotel,300.0,Flight,160.0,Cultural,76.0,26.2,52.1,79.0,73.5,114.7,"['Eiffel Tower', 'Louvre Museum', 'Notre-Dame Cathedral']"
Sydney,Australia,Hostel,100.0,Flight,240.0,Beach,72.3,26.4,50.2,64.8,81.3,127.2,"['Sydney Opera House', 'Harbour Bridge', 'Bondi Beach']"
Rio de Janeiro,Brazil,Airbnb,180.0,Flight,120.0,Historical,70.8,59.4,65.3,84.6,46.2,109.3,"['Christ the Redeemer', 'Sugarloaf Mountain', 'Copacabana Beach']"
Amsterdam,Netherlands,Hotel,240.0,Train,40.0,Cultural,70.4,41.7,56.6,75.0,67.2,142.3,"['Rijksmuseum', 'Anne Frank House', 'Van Gogh Museum']"
Dubai,United Arab Emirates,Resort,500.0,Flight,160.0,Adventure,70.2,33.4,52.5,77.3,62.5,127.4,"['Burj Khalifa', 'Dubai Mall', 'Palm Jumeirah']"
Hanoi,Vietnam,Hotel,200.0,Flight,100.0,Urban,65.1,22.5,44.7,66.4,59.3,102.4,"['Hoan Kiem Lake', 'Old Quarter', 'Temple of Literature']"
Barcelona,Spain,Airbnb,160.0,Train,20.0,Cultural,64.8,33.2,49.6,71.2,61.7,103.7,"['Sagrada Familia', 'Park Güell', 'La Rambla']"
Oslo,Norway,Resort,600.0,Flight,240.0,Urban,64.6,25.9,46.0,71.9,57.1,121.0,"['Vigeland Park', 'Akershus Fortress', 'Oslo Opera House']"
Berlin,Germany,Hotel,280.0,Flight,140.0,Adventure,64.4,42.3,53.8,59.3,65.3,101.1,"['Brandenburg Gate', 'Berlin Wall', 'Museum Island']"
Kuala Lumpur,Malaysia,Riad,120.0,Flight,80.0,Nature,63.7,21.0,43.2,69.5,56.3,102.4,"['Petronas Towers', 'Batu Caves', 'Merdeka Square']"
Lima,Peru,Hotel,180.0,Train,30.0,Beach,63.3,19.5,42.3,64.1,53.1,103.5,"['Plaza Mayor', 'Larco Museum', 'Huaca Pucllana']"
Reykjavik,Iceland,Hotel,246.2,Flight,85.2,Nature,51.9,14.7,40.4,62.6,31.8,38.0,"['Hallgrimskirkja', 'Blue Lagoon', 'Harpa Concert Hall']"
Copenhagen,Denmark,Hotel,173.8,Flight,120.4,Nature,62.8,28.4,74.3,63.9,46.8,63.7,"['Nyhavn', 'Tivoli Gardens', 'The Little Mermaid']"
Prague,Czech Republic,Hotel,271.2,Flight,149.8,Historical,51.1,16.8,62.3,58.3,90.5,76.3,"['Charles Bridge', 'Prague Castle', 'Old Town Square']"
Warsaw,Poland,Hotel,152.0,Flight,187.0,Cultural,57.1,29.5,62.2,107.1,50.1,32.3,"['Royal Castle', 'Lazienki Park', 'Old Town']"
Bratislava,Slovakia,Hotel,233.0,Flight,175.4,Historical,50.8,32.4,91.8,50.3,53.8,63.7,"['Bratislava Castle', 'Old Town', 'UFO Bridge']"
Luxembourg,Luxembourg,Hotel,127.4,Flight,188.0,Nature,89.3,11.8,72.3,52.7,87.1,81.9,"['Bock Casemates', 'Grand Ducal Palace', 'Old Town']"
Riga,Latvia,Hotel,228.4,Flight,63.8,Nature,57.2,22.9,80.5,97.3,50.7,97.4,"['House of the Blackheads', 'Riga Old Town', 'Freedom Monument']"
Sarajevo,Bosnia and Herzegovina,Hotel,190.0,Flight,127.4,Historical,67.5,44.6,52.1,95.2,37.7,31.2,"['Baščaršija', 'Latin Bridge', 'Gazi Husrev-beg Mosque']"
Sofia,Bulgaria,Hotel,164.4,Flight,77.4,Cultural,57.7,16.5,48.8,78.5,31.9,143.7,"['Alexander Nevsky Cathedral', 'Vitosha Boulevard', 'Boyana Church']"
Budapest,Hungary,Resort,,Plane,,Urban,56.2,19.2,38.5,57.0,53.3,78.3,"['Buda Castle', 'Parliament Building', 'Thermal Baths']"
Skopje,North Macedonia,Hotel,245.2,Flight,184.6,Cultural,59.2,65.2,99.4,81.5,84.7,124.8,"['Skopje Fortress', 'Old Bazaar', 'Millennium Cross']"
Doha,Qatar,Hotel,,Plane,,Urban,54.7,24.8,40.4,49.6,53.2,71.4,"['Souq Waqif', 'Museum of Islamic Art', 'The Pearl']"
Manila,Philippines,Hostel,,Train,,Urban,54.1,13.8,34.8,52.1,50.2,56.3,"['Intramuros', 'Rizal Park', 'Fort Santiago']"
Zagreb,Croatia,Airbnb,,Car rental,,Urban,53.9,14.1,34.8,62.0,38.8,32.7,"['Ban Jelačić Square', 'Upper Town', 'Museum of Broken Relationships']"
Tallinn,Estonia,Hotel,,Car rental,,Adventure,52.8,24.2,39.1,50.6,56.2,68.1,"['Old Town', 'Toompea Castle', 'Alexander Nevsky Cathedral']"
Vilnius,Lithuania,Hostel,,Bus,,Beach,52.6,13.1,33.7,55.3,43.9,43.7,"[""Gediminas' Tower"", 'Vilnius Cathedral', 'Old Town']"
Valencia,Spain,Airbnb,,Plane,,Historical,52.3,16.7,35.2,56.1,43.1,46.2,"['City of Arts and Sciences', 'Valencia Cathedral', 'Turia Gardens']"
Bruges,Belgium,Hotel,,Train,,Cultural,52.3,20.5,37.0,46.9,44.7,105.0,"['Market Square', 'Belfry of Bruges', 'Canals of Bruges']"
Medellín,Colombia,Airbnb,,Plane,,Beach,52.0,12.9,33.2,48.4,51.3,53.0,"['Comuna 13', 'Plaza Botero', 'Arví Park']"
Colombo,Sri Lanka,Hostel,,Train,,Cultural,52.0,15.0,34.2,46.4,50.6,80.4,"['Galle Face Green', 'Gangaramaya Temple', 'National Museum']"
Tbilisi,Georgia,Hotel,278.4,Flight,69.4,Historical,79.5,23.0,81.9,71.9,54.6,55.8,"['Narikala Fortress', 'Old Town', 'Holy Trinity Cathedral']"
Yerevan,Armenia,Hotel,207.4,Flight,166.2,Nature,58.2,64.5,57.4,80.1,96.3,120.5,"['Republic Square', 'Cascades', 'Matenadaran']"
Bucharest,Romania,Hotel,237.8,Flight,117.2,Cultural,98.4,28.0,58.8,65.0,99.3,79.9,"['Palace of Parliament', 'Old Town', 'Village Museum']"
Belgrade,Serbia,Hotel,215.0,Flight,161.8,Cultural,97.6,61.1,80.5,79.5,55.1,109.7,"['Kalemegdan Fortress', 'Skadarlija', 'Saint Sava Temple']"
Bangkok,Thailand,Airbnb,100.0,Bus,10.0,Cultural,45.5,13.8,30.3,43.5,42.2,75.0,"['Grand Palace', 'Wat Arun', 'Chatuchak Market']"
Helsinki,Finland,Hotel,119.6,Flight,171.8,Cultural,76.9,59.3,50.1,51.9,56.2,97.3,"['Suomenlinna', 'Helsinki Cathedral', 'Market Square']"
Seoul,South Korea,Hostel,,Subway,,Cultural,41.0,19.0,30.5,36.0,38.9,38.5,"['Gyeongbokgung Palace', 'N Seoul Tower', 'Bukchon Hanok Village']"
Los Angeles,USA,Hotel,,Car rental,,Historical,40.8,17.1,29.5,36.8,35.0,85.8,"['Hollywood Sign', 'Santa Monica Pier', 'Griffith Observatory']"
Rome,Italy,Airbnb,,Train,,Urban,40.2,15.5,28.4,43.4,35.7,45.4,"['Colosseum', 'Trevi Fountain', 'Pantheon']"
Tunis,Tunisia,Hotel,291.6,Flight,77.0,Cultural,63.2,27.8,78.0,52.6,93.1,112.6,"['Medina of Tunis', 'Bardo Museum', 'Carthage']"
Algiers,Algeria,Hotel,160.0,Flight,183.2,Cultural,104.6,32.0,49.4,90.4,41.5,77.3,"['Casbah', 'Notre Dame d’Afrique', ""Martyrs' Memorial""]"
Nairobi,Kenya,Hotel,262.0,Flight,85.2,Nature,85.7,37.3,55.0,85.5,76.1,105.3,"['Nairobi National Park', 'Giraffe Centre', 'Karen Blixen Museum']"
Lagos,Nigeria,Hotel,194.6,Flight,187.6,Historical,58.4,25.4,95.5,62.4,63.7,105.8,"['Lekki Conservation Centre', 'Nike Art Gallery', 'Tarkwa Bay']"
Accra,Ghana,Hotel,266.2,Flight,74.2,Nature,98.7,12.0,65.5,86.2,35.9,111.7,"['Kwame Nkrumah Mausoleum', 'Labadi Beach', 'Jamestown Lighthouse']"
Asuncion,Paraguay,Villa,98.4,Bus,73.2,Nature,85.8,19.5,69.8,109.5,48.7,105.7,"['Palacio de los López', 'Casa de la Independencia', 'Botanical Garden']"
Cancun,Mexico,Resort,120.0,Plane,700.0,Adventure,35.4,15.3,45.0,43.7,28.4,68.0,"['Chichen Itza', 'Cancun Underwater Museum', 'Playa Delfines']"
Cape Town,South Africa,Guesthouse,80.0,Car,300.0,Nature,34.6,5.6,40.2,49.3,18.5,17.5,"['Table Mountain', 'Robben Island', 'Cape Point']"
Santorini,Greece,Airbnb,200.0,Ferry,30.0,Nature,68.5,23.4,85.0,58.3,55.0,42.0,"['Oia Village', 'Red Beach', 'Ancient Thera']"
Phnom Penh,Cambodia,Hostel,40.0,Plane,100.0,Nature,42.0,12.3,54.3,38.2,20.5,18.0,"['Royal Palace', 'Tuol Sleng Museum', 'Wat Phnom']"
Athens,Greece,Airbnb,140.0,Plane,180.0,Adventure,55.2,22.5,70.1,45.8,35.2,46.0,"['Acropolis', 'Parthenon', 'Plaka District']"
New York City,USA,Hotel,1600.0,Airplane,500.0,Urban,100.0,60.0,140.0,90.0,80.0,100.0,"['Statue of Liberty', 'Central Park', 'Times Square']"
Vancouver,Canada,Hotel,1000.0,Airplane,600.0,Nature,73.5,35.0,95.0,58.2,55.0,70.0,"['Stanley Park', 'Capilano Suspension Bridge', 'Granville Island']"
Auckland,New Zealand,Hotel,1400.0,Train,500.0,Historical,72.0,28.0,88.0,54.3,40.0,60.0,"['Sky Tower', 'Waiheke Island', 'Auckland Museum']"
Brașov,Romania,Pensiune,50.0,Train,10.0,Istoric,38.6,10.5,49.1,32.5,30.5,32.0,"['Biserica Neagră', 'Piața Sfatului', 'Muntele Tâmpa']"
Sibiu,Romania,Airbnb,40.0,Train,14.0,Cultural,37.8,10.0,47.8,31.0,29.4,35.0,"['Piața Mare', 'Podul Minciunilor', 'Muzeul ASTRA']"
Cluj-Napoca,Romania,Hotel,50.0,Flight,20.0,Cultural,43.5,12.7,56.2,36.0,37.0,45.0,"['Biserica Sf. Mihail', 'Grădina Botanică', 'Cetățuia']"
Timișoara,Romania,Airbnb,44.0,Train,24.0,Istoric,40.2,11.0,51.2,34.0,30.0,47.0,"['Piața Unirii', 'Catedrala Mitropolitană', 'Bastionul Theresia']"
Iași,Romania,Hotel,40.0,Train,20.0,Istoric,37.0,9.3,46.3,30.0,28.0,38.0,"['Palatul Culturii', 'Biserica Trei Ierarhi', 'Grădina Botanică']"
Sighișoara,Romania,Pensiune,30.0,Train,18.0,Istoric,30.0,5.0,35.0,25.0,20.0,20.0,"['Turnul cu Ceas', 'Biserica din Deal', 'Scara Acoperită']"
Târgu Jiu,Romania,Hotel,30.0,Train,12.0,Cultural,31.5,6.0,37.5,26.0,22.0,25.0,"['Coloana Infinitului', 'Masa Tăcerii', 'Poarta Sărutului']"
Split,Croatia,Airbnb,192.77,Flight,142.11,Historical,47.0,20.4,113.6,79.0,25.6,24.6,"[""Diocletian's Palace"", 'Marjan Hill', 'Riva Waterfront']"
Porto,Portugal,Airbnb,167.1,Train,58.85,Historical,47.0,21.7,74.5,65.1,60.3,52.9,"['Dom Luís I Bridge', 'Livraria Lello', 'Clerigos Tower']"
Valletta,Malta,Airbnb,98.49,Bus,137.07,Adventure,99.2,21.0,44.8,36.4,41.8,89.6,"[""St. John's Co-Cathedral"", 'Upper Barrakka Gardens', 'Grand Harbour']"
Ljubljana,Slovenia,Hotel,76.51,Flight,283.95,Cultural,71.5,40.5,109.0,62.9,60.2,31.1,"['Ljubljana Castle', 'Dragon Bridge', 'Tivoli Park']"
Chisinau,Moldova,Airbnb,174.9,Flight,170.32,Adventure,91.6,30.1,77.3,62.5,30.6,42.6,"['Stefan cel Mare Park', 'Cathedral Park', 'National Museum']"
Innsbruck,Austria,Hotel,119.25,Flight,290.66,Historical,34.6,23.2,85.4,44.7,41.5,33.9,"['Golden Roof', 'Alpine Zoo', 'Nordkette']"
Graz,Austria,Hotel,173.21,Bus,261.98,Adventure,59.5,17.3,87.9,33.4,66.3,80.4,"['Schlossberg', 'Eggenberg Palace', 'Murinsel']"
Ghent,Belgium,Resort,117.62,Bus,235.27,Historical,70.7,12.6,95.7,84.0,63.9,29.1,"['Gravensteen Castle', ""St. Bavo's Cathedral"", 'Korenlei']"
Antwerp,Belgium,Resort,103.67,Bus,231.59,Adventure,72.9,38.7,105.1,49.0,79.8,41.0,"['Cathedral of Our Lady', 'Grote Markt', 'Museum aan de Stroom']"
Nice,France,Resort,161.51,Bus,274.65,Nature,64.8,34.2,87.5,48.8,45.5,89.6,"['Promenade des Anglais', 'Castle Hill', 'Old Town']"
Marseille,France,Hotel,102.88,Flight,258.7,Adventure,84.3,24.4,109.5,85.8,62.9,57.8,"['Old Port', 'Notre-Dame de la Garde', 'Calanques National Park']"
Lille,France,Resort,89.25,Bus,129.9,Nature,30.4,29.2,100.9,64.6,58.1,37.0,"['Grand Place', 'Palais des Beaux-Arts', 'Old Town']"
Bilbao,Spain,Airbnb,158.98,Bus,188.63,Nature,48.8,10.9,75.0,85.0,67.0,61.9,"['Guggenheim Museum', 'Casco Viejo', 'Zubizuri Bridge']"
Seville,Spain,Hostel,126.63,Train,266.62,Cultural,40.5,15.9,55.6,46.3,72.4,42.5,"['Alcazar', 'Seville Cathedral', 'Plaza de España']"
Granada,Spain,Resort,181.87,Flight,299.67,Nature,41.1,39.4,45.1,77.5,48.2,73.4,"['Alhambra', 'Generalife', 'Albaicín']"
Verona,Italy,Resort,159.94,Flight,109.21,Nature,83.0,10.4,51.1,58.2,31.8,77.9,"['Arena di Verona', ""Juliet's House"", 'Piazza delle Erbe']"
Bologna,Italy,Hotel,133.36,Bus,91.38,Nature,65.3,36.0,52.7,36.0,32.0,75.5,"['Two Towers', 'Piazza Maggiore', 'Archiginnasio']"
Turin,Italy,Hotel,85.1,Bus,74.12,Cultural,54.9,48.9,101.4,78.7,79.6,75.3,"['Mole Antonelliana', 'Egyptian Museum', 'Piazza Castello']"
Lecce,Italy,Hostel,122.91,Flight,152.29,Cultural,77.3,43.3,97.9,67.0,29.4,84.9,"['Basilica di Santa Croce', 'Piazza del Duomo', 'Roman Amphitheatre']"
Genoa,Italy,Hostel,172.04,Flight,204.77,Nature,68.6,19.8,41.6,60.4,57.7,62.1,"['Aquarium of Genoa', 'Piazza De Ferrari', 'Via Garibaldi']"
Bergen,Norway,Hostel,98.93,Flight,249.94,Adventure,65.0,25.9,52.0,89.2,41.9,33.2,"['Bryggen', 'Fløibanen', 'Mount Ulriken']"
Tromsø,Norway,Hotel,89.85,Bus,171.09,Historical,61.8,37.2,88.2,44.2,68.1,55.3,"['Arctic Cathedral', 'Fjellheisen', 'Polaria']"
Turku,Finland,Hotel,54.6,Train,55.61,Cultural,64.6,27.3,108.9,79.5,71.6,82.6,"['Turku Castle', 'Old Great Square', 'Luostarinmäki']"
Krakow,Poland,Airbnb,197.14,Flight,90.31,Cultural,41.4,24.7,47.0,36.5,38.7,22.2,"['Wawel Castle', 'Main Market Square', ""St. Mary's Basilica""]"
Wroclaw,Poland,Resort,55.99,Train,247.46,Historical,54.1,19.6,91.9,34.7,40.0,87.0,"['Market Square', 'Centennial Hall', 'Wroclaw Zoo']"
Poznan,Poland,Hotel,181.71,Train,291.22,Nature,88.3,12.6,58.2,81.6,34.4,24.0,"['Old Market Square', 'Imperial Castle', 'Citadel Park']"
Lviv,Ukraine,Airbnb,130.19,Train,182.42,Historical,91.1,14.9,68.6,89.5,74.0,43.8,"['Market Square', 'Lviv Opera', 'High Castle Park']"
Odessa,Ukraine,Airbnb,106.2,Train,71.42,Adventure,34.0,33.9,116.8,50.4,74.7,48.3,"['Potemkin Stairs', 'Odessa Opera House', 'Primorsky Boulevard']"
Brasilia,Brazil,Airbnb,61.85,Train,129.13,Historical,77.7,27.0,86.9,63.8,78.7,51.5,"['Cathedral of Brasilia', 'National Congress', 'JK Memorial']"
Quito,Ecuador,Hostel,173.78,Train,233.49,Cultural,72.1,21.0,96.2,66.0,59.6,22.6,"['Basilica del Voto Nacional', 'Mitad del Mundo', 'Old Town']"
Santiago,Chile,Hotel,130.53,Flight,267.03,Nature,35.2,36.6,115.5,77.9,39.6,46.7,"['Cerro San Cristóbal', 'La Moneda Palace', 'Plaza de Armas']"
Arequipa,Peru,Hotel,197.52,Flight,247.58,Adventure,88.8,27.1,104.0,37.9,74.2,49.7,"['Santa Catalina Monastery', 'Plaza de Armas', 'Misti Volcano']"
Sucre,Bolivia,Airbnb,184.24,Train,225.42,Cultural,89.0,22.7,96.0,56.6,54.8,74.4,"['Casa de la Libertad', 'Recoleta', 'Tarabuco Market']"
Cusco,Peru,Resort,117.55,Flight,143.18,Cultural,67.6,26.6,115.4,67.8,68.7,90.0,"['Sacsayhuamán', 'Qorikancha', 'San Pedro Market']"
Ushuaia,Argentina,Airbnb,59.18,Train,248.03,Nature,93.4,11.5,85.4,59.8,39.1,26.2,"['Tierra del Fuego Park', 'Beagle Channel', 'Museo del Fin del Mundo']"
Salta,Argentina,Hostel,140.84,Bus,187.16,Nature,78.3,20.9,89.5,61.8,60.7,84.0,"['Cerro San Bernardo', 'Salta Cathedral', 'MAAM Museum']"
Montevideo,Uruguay,Airbnb,74.81,Flight,82.89,Cultural,58.8,22.4,67.7,55.7,46.6,64.2,"['Ciudad Vieja', 'Rambla', 'Mercado del Puerto']"
Asunción,Paraguay,Airbnb,168.01,Flight,189.27,Adventure,75.2,30.3,74.4,76.9,69.4,42.9,"['Palacio de los López', 'Casa de la Independencia', 'Botanical Garden']"
Dublin,Ireland,Hostel,135.63,Train,128.95,Cultural,55.2,16.8,78.2,48.1,30.0,46.7,"['Guinness Storehouse', 'Dublin Castle', 'Temple Bar']"
Taipei,Taiwan,Hotel,60.34,Train,95.17,Adventure,61.7,26.1,62.4,33.0,54.4,30.8,"['Taipei 101', 'Chiang Kai-shek Memorial Hall', 'Night Markets']"
Marrakech,Morocco,Hostel,120.97,Flight,69.87,Adventure,61.1,10.7,61.7,34.1,45.7,52.6,"['Jemaa el-Fnaa', 'Bahia Palace', 'Majorelle Garden']"
Muscat,Oman,Airbnb,78.27,Bus,159.86,Historical,58.3,13.4,67.9,34.9,41.1,27.4,"['Sultan Qaboos Grand Mosque', 'Royal Opera House', 'Mutrah Souq']"
Kigali,Rwanda,Airbnb,126.71,Train,173.96,Historical,47.0,29.4,66.2,55.8,36.0,56.4,"['Kigali Genocide Memorial', 'Inema Arts Center', 'Camp Kigali']"
Islamabad,Pakistan,Hotel,96.65,Train,93.52,Adventure,38.2,10.9,78.6,49.6,42.6,58.0,"['Faisal Mosque', 'Daman-e-Koh', 'Pakistan Monument']"
Baku,Azerbaijan,Airbnb,131.1,Train,132.56,Cultural,62.5,23.8,64.4,40.9,45.7,35.2,"['Flame Towers', 'Old City (Icherisheher)', 'Baku Boulevard']"
Kathmandu,Nepal,Hotel,85.3,Flight,193.21,Nature,35.0,19.0,72.5,46.0,47.6,53.4,"['Swayambhunath', 'Pashupatinath Temple', 'Durbar Square']"
Amman,Jordan,Hostel,144.28,Bus,64.0,Historical,50.2,25.3,64.3,47.6,29.3,52.9,"['Citadel Hill', 'Roman Amphitheatre', 'Rainbow Street']"
Zanzibar City,Tanzania,Hotel,67.91,Train,137.92,Nature,36.8,17.6,64.1,41.6,32.5,25.9,"['Stone Town', 'Forodhani Gardens', 'Prison Island']"
Luang Prabang,Laos,Hotel,111.16,Flight,151.8,Adventure,50.1,12.9,49.6,36.9,53.4,35.6,"['Wat Xieng Thong', 'Mount Phousi', 'Kuang Si Falls']"
Cali,Colombia,Hostel,63.98,Train,138.21,Cultural,42.4,18.1,61.9,32.2,48.6,21.6,"['Cristo Rey', 'Zoológico de Cali', 'San Antonio Church']"
Valparaiso,Chile,Hotel,110.43,Flight,116.01,Cultural,48.4,32.7,65.2,33.0,37.4,33.0,"['La Sebastiana', 'Cerro Alegre', 'Ascensor Artillería']"
Cartagena,Colombia,Hostel,129.71,Train,80.96,Cultural,49.7,14.7,62.9,53.6,34.0,44.7,"['Walled City', 'Castillo San Felipe', 'Rosario Islands']"
Dakar,Senegal,Airbnb,107.0,Bus,53.91,Historical,57.3,33.7,61.0,45.3,52.1,33.8,"['African Renaissance Monument', 'Gorée Island', 'IFAN Museum']"
Chiang Rai,Thailand,Hotel,98.2,Bus,71.24,Nature,45.4,34.1,74.1,34.3,51.7,54.6,"['White Temple', 'Blue Temple', 'Baan Dam Museum']"
Alexandria,Egypt,Hotel,121.03,Train,146.55,Adventure,51.0,30.0,81.4,49.7,46.9,45.6,"['Bibliotheca Alexandrina', 'Qaitbay Citadel', ""Pompey's Pillar""]"
Thimphu,Bhutan,Hostel,105.91,Train,68.22,Adventure,54.0,24.4,49.1,40.6,50.2,30.4,"['Tashichho Dzong', 'Buddha Dordenma', 'Folk Heritage Museum']"
Puebla,Mexico,Airbnb,81.09,Train,135.94,Historical,61.5,20.9,83.3,47.6,34.5,31.0,"['Puebla Cathedral', 'Cholula Pyramid', 'Amparo Museum']"
Hobart,Australia,Airbnb,96.82,Bus,133.22,Cultural,62.3,33.2,45.8,31.7,44.7,38.1,"['MONA', 'Mount Wellington', 'Salamanca Market']"
Sapporo,Japan,Hotel,117.73,Train,40.1,Adventure,62.2,16.8,54.0,59.1,48.4,31.3,"['Odori Park', 'Sapporo TV Tower', 'Historic Village']"
Essaouira,Morocco,Airbnb,118.46,Flight,70.71,Cultural,63.8,13.5,70.2,50.7,48.5,38.6,"['Skala de la Ville', 'Essaouira Beach', 'Old Medina']"
Tirana,Albania,Hostel,94.54,Flight,75.87,Nature,48.6,10.8,47.2,44.2,48.9,45.0,"['Skanderbeg Square', 'Pyramid of Tirana', ""Bunk'Art""]"
Minsk,Belarus,Airbnb,66.08,Bus,91.9,Cultural,63.7,29.1,56.7,55.9,28.6,45.7,"['Victory Square', 'National Library', 'Gorky Park']"
Bishkek,Kyrgyzstan,Airbnb,80.03,Bus,157.64,Cultural,40.3,33.3,75.4,49.3,35.7,45.1,"['Ala-Too Square', 'Osh Bazaar', 'State Historical Museum']"
Nouakchott,Mauritania,Hostel,126.52,Flight,136.01,Nature,50.7,11.3,71.8,44.6,40.7,44.3,"['Port de Peche', 'Nouakchott Mosque', 'National Museum']"
Antananarivo,Madagascar,Hotel,93.15,Train,44.75,Cultural,39.0,31.9,65.6,52.1,34.6,20.9,"['Rova Palace', 'Lemur Park', 'Ambohimanga']"
Bandung,Indonesia,Hotel,119.08,Train,76.45,Historical,42.9,20.0,81.5,48.8,25.9,35.2,"['Kawah Putih', 'Trans Studio', 'Gedung Sate']"
